label | probe | result
c1-auth-seul | applications_autorisees | (vide)
c1-auth-seul | contexte_abonnement_courant (GP) | (aucune ligne)
c1-auth-seul | contexte_acces_proxy(acces_devis) (GP) | {"connecte": true, "droit_acces": false, "compte_depot": false, "acces_support": false, "droit_gestion": false, "entreprise_id": null}
c1-auth-seul | contexte_application_courant | (aucune ligne)
c1-auth-seul | tools_lister_entreprises_autorisees | (aucune)
c1-auth-seul | tools_resoudre_entitlements (niveau perso) | free / source=free-default
c1-auth-seul | a_acces_application(colors) | false
c1-auth-seul | a_acces_application(gestion_pro) | false
c1-auth-seul | a_acces_application(reserves) | false
c1-auth-seul | a_acces_application(tools) | false
c10-habilitation-retiree | applications_autorisees | (vide)
c10-habilitation-retiree | contexte_abonnement_courant (GP) | (e1000000-0000-4000-8000-000000000001,"ENTREPRISE-A (active, droits org sur les 4 apps)",ENT-005,,actif,,2026-09-20,2026-10-20,,,f)
c10-habilitation-retiree | contexte_acces_proxy(acces_devis) (GP) | {"connecte": true, "droit_acces": false, "compte_depot": false, "acces_support": false, "droit_gestion": false, "entreprise_id": "e1000000-0000-4000-8000-000000000001"}
c10-habilitation-retiree | contexte_application_courant | e1000000-0000-4000-8000-000000000001/ENTREPRISE-A (active, droits org sur les 4 apps)
c10-habilitation-retiree | tools_lister_entreprises_autorisees | (aucune)
c10-habilitation-retiree | tools_resoudre_entitlements (niveau perso) | free / source=free-default
c10-habilitation-retiree | a_acces_application(colors) | false
c10-habilitation-retiree | a_acces_application(gestion_pro) | false
c10-habilitation-retiree | a_acces_application(reserves) | false
c10-habilitation-retiree | a_acces_application(tools) | false
c11-droit-org-expire | applications_autorisees | (vide)
c11-droit-org-expire | contexte_abonnement_courant (GP) | (e5000000-0000-4000-8000-000000000005,"ENTREPRISE-E (droit org EXPIRÉ)",ENT-008,,actif,,2026-09-20,2026-10-20,,,f)
c11-droit-org-expire | contexte_acces_proxy(acces_devis) (GP) | {"connecte": true, "droit_acces": false, "compte_depot": false, "acces_support": false, "droit_gestion": false, "entreprise_id": "e5000000-0000-4000-8000-000000000005"}
c11-droit-org-expire | contexte_application_courant | e5000000-0000-4000-8000-000000000005/ENTREPRISE-E (droit org EXPIRÉ)
c11-droit-org-expire | tools_lister_entreprises_autorisees | (aucune)
c11-droit-org-expire | tools_resoudre_entitlements (niveau perso) | free / source=free-default
c11-droit-org-expire | a_acces_application(colors) | false
c11-droit-org-expire | a_acces_application(gestion_pro) | false
c11-droit-org-expire | a_acces_application(reserves) | false
c11-droit-org-expire | a_acces_application(tools) | false
c12-admin-plateforme-actif | applications_autorisees | colors:administrateur_plateforme_global, drone:administrateur_plateforme_global, gestion_pro:administrateur_plateforme_global, reserves:administrateur_plateforme_global, tools:administrateur_plateforme_global
c12-admin-plateforme-actif | contexte_abonnement_courant (GP) | (aucune ligne)
c12-admin-plateforme-actif | contexte_acces_proxy(acces_devis) (GP) | {"connecte": true, "droit_acces": false, "compte_depot": false, "acces_support": false, "droit_gestion": false, "entreprise_id": null}
c12-admin-plateforme-actif | contexte_application_courant | (aucune ligne)
c12-admin-plateforme-actif | tools_lister_entreprises_autorisees | (aucune)
c12-admin-plateforme-actif | tools_resoudre_entitlements (niveau perso) | free / source=free-default
c12-admin-plateforme-actif | a_acces_application(colors) | true
c12-admin-plateforme-actif | a_acces_application(gestion_pro) | true
c12-admin-plateforme-actif | a_acces_application(reserves) | true
c12-admin-plateforme-actif | a_acces_application(tools) | true
c13-admin-plateforme-en-attente(julien) | applications_autorisees | (vide)
c13-admin-plateforme-en-attente(julien) | contexte_abonnement_courant (GP) | (aucune ligne)
